winner,SEED_higher,SEED_lower,TEAM_higher,G_higher,W_higher,ADJOE_higher,ADJDE_higher,BARTHAG_higher,EFG_O_higher,EFG_D_higher,TOR_higher,TORD_higher,ORB_higher,DRB_higher,FTR_higher,FTRD_higher,2P_O_higher,2P_D_higher,3P_O_higher,3P_D_higher,ADJ_T_higher,WAB_higher,SEED_higher.1,Turnover_diff_higher,TEAM_lower,G_lower,W_lower,ADJOE_lower,ADJDE_lower,BARTHAG_lower,EFG_O_lower,EFG_D_lower,TOR_lower,TORD_lower,ORB_lower,DRB_lower,FTR_lower,FTRD_lower,2P_O_lower,2P_D_lower,3P_O_lower,3P_D_lower,ADJ_T_lower,WAB_lower,SEED_lower.1,Turnover_diff_lower
Higher,1,4,Florida,34,30,127.8,94.1,0.9712,55,45.3,15,17,38.1,28.8,32.6,33,56.4,45.9,35.5,29.6,69.6,11.2,1,1.4,Maryland,33,25,117.9,92.1,0.9447,53.8,47,14.5,20.2,31,27.2,32.9,25.9,52.7,47.6,37.2,30.7,70,4.6,4,4.1
Higher,3,10,Texas Tech,33,25,126.1,96.9,0.9536,55.5,48,14.8,17.4,34.3,28.5,29.7,33.5,54.3,48.2,37.9,31.7,65.7,5.8,3,1.8,Arkansas,33,20,112,95.6,0.8608,52.7,48.3,16.5,17.5,27.6,28.3,35.5,29.4,54.4,48.5,33.3,31.9,69.4,1.3,10,0.7
Higher,1,2,Houston,34,30,124.8,88.2,0.9819,52.7,44.9,14.6,21.7,36.1,29.3,28.2,34.1,49,43.9,39.8,30.9,61.5,11.5,1,4.5,Tennessee,34,27,119.4,91.2,0.9567,52.8,44.4,16,17.8,35.4,30.1,35.4,29.4,54.1,46.7,34,27.8,63.9,9.3,2,1.2
Higher,1,3,Florida,34,30,127.8,94.1,0.9712,55,45.3,15,17,38.1,28.8,32.6,33,56.4,45.9,35.5,29.6,69.6,11.2,1,1.4,Texas Tech,33,25,126.1,96.9,0.9536,55.5,48,14.8,17.4,34.3,28.5,29.7,33.5,54.3,48.2,37.9,31.7,65.7,5.8,3,1.8
Higher,1,4,Duke,34,31,128.6,91.3,0.9808,57.4,44.5,14.4,17.7,35.2,26.5,32.1,25.4,58,43.4,37.7,30.9,65.8,9.7,1,2.2,Arizona,34,22,123.9,96.6,0.9459,52.9,48.6,16.2,16.6,35.9,28.5,36.6,29.2,55.1,47.2,32.4,33.6,70,5.4,4,0.3
Higher,2,6,Alabama,33,25,127.7,96.5,0.9619,56.3,47.9,16.7,13.5,34.7,29.2,40.1,33.9,59.7,48.8,35,30.8,74.8,9.8,2,-2.4,BYU,33,24,125.5,99.3,0.9366,57.2,50.6,17.6,17.2,33.3,26.1,30.2,29.5,58.6,49.3,37.1,34.8,67.3,4.7,6,-0.2
Higher,1,5,Auburn,33,30,129.2,93.8,0.9754,55.7,46,13.4,17.4,34.3,30.3,33.5,39.2,56.1,47.2,36.8,29.2,67.9,12.5,1,2.8,Michigan,34,25,115.2,94.5,0.9063,54.5,46.3,19.8,16,33.2,29.8,35,28.5,57.7,45.9,33.4,31.3,69.5,6.2,5,-2.7
Higher,2,6,Michigan St.,33,27,116.9,92,0.9403,51.2,46.1,16.6,16.4,35.3,24.6,37.8,33.1,53.6,49.1,30.8,27.9,68,7.9,2,-0.1,Mississippi,33,22,117.5,97.1,0.899,51.1,50.5,12.8,20.5,25.4,30.8,35.6,39.5,51,51.6,34.1,32.7,68.1,4.8,6,5.4
Higher,1,2,Auburn,33,30,129.2,93.8,0.9754,55.7,46,13.4,17.4,34.3,30.3,33.5,39.2,56.1,47.2,36.8,29.2,67.9,12.5,1,2.8,Michigan St.,33,27,116.9,92,0.9403,51.2,46.1,16.6,16.4,35.3,24.6,37.8,33.1,53.6,49.1,30.8,27.9,68,7.9,2,-0.1
Higher,1,2,Duke,34,31,128.6,91.3,0.9808,57.4,44.5,14.4,17.7,35.2,26.5,32.1,25.4,58,43.4,37.7,30.9,65.8,9.7,1,2.2,Alabama,33,25,127.7,96.5,0.9619,56.3,47.9,16.7,13.5,34.7,29.2,40.1,33.9,59.7,48.8,35,30.8,74.8,9.8,2,-2.4
Lower,1,1,Auburn,33,30,129.2,93.8,0.9754,55.7,46,13.4,17.4,34.3,30.3,33.5,39.2,56.1,47.2,36.8,29.2,67.9,12.5,1,2.8,Florida,34,30,127.8,94.1,0.9712,55,45.3,15,17,38.1,28.8,32.6,33,56.4,45.9,35.5,29.6,69.6,11.2,1,1.4
Lower,1,1,Duke,34,31,128.6,91.3,0.9808,57.4,44.5,14.4,17.7,35.2,26.5,32.1,25.4,58,43.4,37.7,30.9,65.8,9.7,1,2.2,Houston,34,30,124.8,88.2,0.9819,52.7,44.9,14.6,21.7,36.1,29.3,28.2,34.1,49,43.9,39.8,30.9,61.5,11.5,1,4.5
Higher,1,1,Florida,34,30,127.8,94.1,0.9712,55,45.3,15,17,38.1,28.8,32.6,33,56.4,45.9,35.5,29.6,69.6,11.2,1,1.4,Houston,34,30,124.8,88.2,0.9819,52.7,44.9,14.6,21.7,36.1,29.3,28.2,34.1,49,43.9,39.8,30.9,61.5,11.5,1,4.5
